License Number,License Type,Status,County,Held By,Address,Nickname
CCL21-0006075,Cultivation - Medium Outdoor,Active (exp. 2027-06-04),Lake,"Artemis Farms, LLC","5200 Bartlett Springs Road, Unincorporated, CA 95464",
CCL21-0006073,Cultivation - Medium Outdoor,Active (exp. 2027-06-01),Lake,"Artemis Farms, LLC","5200 Bartlett Springs Road, Unincorporated, CA 95464",
CCL21-0006071,Cultivation - Medium Outdoor,Active (exp. 2027-06-04),Lake,"Artemis Farms, LLC","5200 Bartlett Springs Road, Unincorporated, CA 95464",
CCL21-0002183,Cultivation - Small Outdoor,Active (exp. 2027-06-06),Lake,Wildcat Farmz LLC,"9275 Antler Hill Drive, Unincorporated, CA 95451",
CCL21-0002182,Cultivation - Small Outdoor,Active (exp. 2027-06-06),Lake,Wildcat Farmz LLC,"9275 Antler Hill Drive, Unincorporated, CA 95451",
CCL21-0002181,Cultivation - Small Outdoor,Active (exp. 2027-06-06),Lake,Wildcat Farmz LLC,"9275 Antler Hill Drive, Unincorporated, CA 95451",
CCL21-0002180,Cultivation - Small Outdoor,Active (exp. 2027-06-06),Lake,Wildcat Farmz LLC,"9275 Antler Hill Drive, Unincorporated, CA 95451",
CCL21-0002179,Cultivation - Small Outdoor,Active (exp. 2027-06-06),Lake,Wildcat Farmz LLC,"9275 Antler Hill Drive, Unincorporated, CA 95451",
CCL23-0000540,Cultivation - Medium Outdoor,Active (exp. 2026-12-03),Lake,"BG Property Management, LLC","9200 Highland Springs Road, Unincorporated, CA 95453",
CCL21-0000310,Cultivation - Medium Outdoor,Active (exp. 2027-02-15),Lake,"BG Property Management, LLC","9200 Highland Springs Road, Unincorporated, CA 95453",
CCL21-0000309,Cultivation - Medium Outdoor,"ACTIVE - EXPIRES 2026-09-17 (3 days)",Lake,"BG Property Management, LLC","9200 Highland Springs Road, Unincorporated, CA 95453",
CCL26-0000027,Cultivation - Large Outdoor,Active (exp. 2027-06-23),Lake,"All Good Properties, Inc.","19955 Grange Road, Unincorporated, CA 95461",
CCL25-0000167 (shown as CCL28-0000167 in Canix),Cultivation - Large Outdoor,Active (exp. 2027-06-02),Lake,"All Good Properties, Inc.","1111 Sulphur Bank Drive, Clearlake Oaks, CA 95423",
CCL22-0001284,Cultivation - Processor,Active (exp. 2027-06-28),Lake,"2CW Productions, Inc.","4820 Loasa Rd, Kelseyville, CA 95451",
C11-0001652-LIC,Commercial - Distributor,Active (exp. 2027-06-17),Sonoma,Airway Industries Inc.,"3415 Industrial Drive, Santa Rosa, CA 95403",
